STATION,Date,Year,Month,Cruise,TowDist,Stratum,Region,Depth,Count,NetWidth,StratNum
CM20050301009,19-Mar-05,2005,3,1,1675.8,201,2,1,0,28.86,3
CM20050301010,19-Mar-05,2005,3,1,2112.7,201,2,1,0,27.49,3
CM20050301011,19-Mar-05,2005,3,1,2117.9,201,2,1,0,29.79,3
CM20050301012,19-Mar-05,2005,3,1,1928.1,202,2,2,0,26.3,4
CM20050301013,19-Mar-05,2005,3,1,1929.8,202,2,2,0,26.92,4
CM20050301014,19-Mar-05,2005,3,1,1929.3,202,2,2,0,23.04,4
CM20050301015,19-Mar-05,2005,3,1,2183.3,202,2,2,0,29.96,4
CM20050301016,19-Mar-05,2005,3,1,2169.6,202,2,2,0,31.27,4
CM20050301017,19-Mar-05,2005,3,1,2041.1,203,2,3,0,29.19,5
CM20050301018,19-Mar-05,2005,3,1,2203.8,203,2,3,0,28.16,5
CM20050301019,19-Mar-05,2005,3,1,2079.1,203,2,3,0,29.63,5
CM20050301001,20-Mar-05,2005,3,1,2321.5,101,1,1,0,26.81,1
CM20050301002,20-Mar-05,2005,3,1,2228,101,1,1,0,26.81,1
CM20050301003,20-Mar-05,2005,3,1,2119,101,1,1,0,26.81,1
CM20050301004,20-Mar-05,2005,3,1,2024,101,1,1,0,26.81,1
CM20050301005,20-Mar-05,2005,3,1,2134.4,102,1,2,0,26.81,2
CM20050301006,20-Mar-05,2005,3,1,2109.8,102,1,2,0,26.81,2
CM20050301008,20-Mar-05,2005,3,1,2158,201,2,1,0,26.81,3
CM20050301007,20-Mar-05,2005,3,1,787,203,2,3,0,26.81,5
CM20050301020,22-Mar-05,2005,3,1,982.6,301,3,1,0,26.96,6
CM20050301021,22-Mar-05,2005,3,1,2055.2,301,3,1,0,26.91,6
CM20050301023,22-Mar-05,2005,3,1,982.1,301,3,1,0,27.99,6
CM20050301024,22-Mar-05,2005,3,1,1973.5,301,3,1,0,28.01,6
CM20050301025,22-Mar-05,2005,3,1,2067.8,301,3,1,0,27.06,6
CM20050301026,22-Mar-05,2005,3,1,2091.6,301,3,1,0,29.98,6
CM20050301027,22-Mar-05,2005,3,1,2013.2,302,3,2,0,29.61,7
CM20050301030,22-Mar-05,2005,3,1,2236.8,302,3,2,0,30.83,7
CM20050301032,22-Mar-05,2005,3,1,2073,302,3,2,0,30.17,7
CM20050301034,22-Mar-05,2005,3,1,2049.4,303,3,3,0,26.05,8
CM20050301035,22-Mar-05,2005,3,1,1971.8,303,3,3,0,29.34,8
CM20050301039,22-Mar-05,2005,3,1,1968.9,401,4,1,0,28.46,9
CM20050301041,22-Mar-05,2005,3,1,909.1,401,4,1,0,27.26,9
CM20050301040,24-Mar-05,2005,3,1,1668,401,4,1,0,26.98,9
CM20050301042,24-Mar-05,2005,3,1,984.2,401,4,1,0,31.37,9
CM20050301046,24-Mar-05,2005,3,1,1768,402,4,2,0,27.77,10
CM20050301048,24-Mar-05,2005,3,1,859,402,4,2,0,26.21,10
CM20050301050,24-Mar-05,2005,3,1,1669.4,402,4,2,0,28.17,10
CM20050301060,24-Mar-05,2005,3,1,1081.4,501,5,1,0,28.59,12
CM20050301061,24-Mar-05,2005,3,1,2101.8,501,5,1,0,27.1,12
CM20050301063,24-Mar-05,2005,3,1,1815.6,501,5,1,0,26.49,12
CM20050301064,24-Mar-05,2005,3,1,2007,501,5,1,0,28.76,12
CM20050301079,24-Mar-05,2005,3,1,1516.2,503,5,3,0,22.66,14
CM20050301062,25-Mar-05,2005,3,1,1992.5,501,5,1,0,27.45,12
CM20050301065,25-Mar-05,2005,3,1,1941.7,501,5,1,0,27.79,12
CM20050301066,25-Mar-05,2005,3,1,2050.8,501,5,1,0,29.78,12
CM20050301070,25-Mar-05,2005,3,1,1839.6,502,5,2,0,26.43,13
CM20050301071,25-Mar-05,2005,3,1,2180.3,502,5,2,0,27.1,13
CM20050301078,25-Mar-05,2005,3,1,1655.7,503,5,3,0,25.71,14
CM20060301044,23-Mar-06,2006,3,1,2196,401,4,1,7,27.91,9
CM20060301048,23-Mar-06,2006,3,1,2205.5,402,4,2,98,26.65,10
CM20060301049,23-Mar-06,2006,3,1,2029.4,402,4,2,24,24,10
CM20060301051,23-Mar-06,2006,3,1,1830.2,402,4,2,124,23.59,10
CM20060301058,23-Mar-06,2006,3,1,2235,403,4,3,1,25.56,11
CM20060301061,23-Mar-06,2006,3,1,1912.5,501,5,1,1,26.65,12
CM20060301021,24-Mar-06,2006,3,1,1048.3,301,3,1,0,26.2,6
CM20060301022,24-Mar-06,2006,3,1,1051,301,3,1,0,24.01,6
CM20060301023,24-Mar-06,2006,3,1,1044.3,301,3,1,0,26.59,6
CM20060301025,24-Mar-06,2006,3,1,1063.5,301,3,1,0,27.36,6
CM20060301035,24-Mar-06,2006,3,1,2153.5,303,3,3,0,25.01,8
CM20060301041,24-Mar-06,2006,3,1,1815.9,401,4,1,0,21.89,9
CM20060301042,24-Mar-06,2006,3,1,1808.2,401,4,1,1,23.63,9
CM20060301043,24-Mar-06,2006,3,1,1965.1,401,4,1,0,23.47,9
CM20060301055,24-Mar-06,2006,3,1,1966.9,402,4,2,0,25.44,10
CM20060301056,24-Mar-06,2006,3,1,2163.2,402,4,2,0,26.02,10
CM20060301059,24-Mar-06,2006,3,1,2075.4,403,4,3,0,27.75,11
CM20060301020,25-Mar-06,2006,3,1,2149,301,3,1,0,28.66,6
CM20060301024,25-Mar-06,2006,3,1,2088.3,301,3,1,0,27.64,6
CM20060301026,25-Mar-06,2006,3,1,2131.5,301,3,1,0,28.8,6
CM20060301027,25-Mar-06,2006,3,1,1905.3,302,3,2,0,29.16,7
CM20060301028,25-Mar-06,2006,3,1,1058.5,302,3,2,0,27.34,7
CM20060301031,25-Mar-06,2006,3,1,1980.3,302,3,2,0,27.34,7
CM20060301032,25-Mar-06,2006,3,1,2001.8,302,3,2,0,26.01,7
CM20060301033,25-Mar-06,2006,3,1,1922.1,303,3,3,0,28.65,8
CM20060301034,25-Mar-06,2006,3,1,1975.7,303,3,3,0,27.83,8
CM20060301008,27-Mar-06,2006,3,1,1019.4,201,2,1,0,29.48,3
CM20060301009,27-Mar-06,2006,3,1,2057.1,201,2,1,0,28.53,3
CM20060301010,27-Mar-06,2006,3,1,2115.1,201,2,1,0,28.48,3
CM20060301011,27-Mar-06,2006,3,1,2190.8,201,2,1,0,32.51,3
CM20060301012,27-Mar-06,2006,3,1,2178.4,202,2,2,0,29.36,4
CM20060301013,27-Mar-06,2006,3,1,2185.1,202,2,2,0,27.95,4
CM20060301014,27-Mar-06,2006,3,1,2115.1,202,2,2,0,24.89,4
CM20060301015,27-Mar-06,2006,3,1,2130,202,2,2,0,28.02,4
CM20060301016,27-Mar-06,2006,3,1,2122.6,202,2,2,0,30.19,4
CM20060301017,27-Mar-06,2006,3,1,2013,203,2,3,0,25.84,5
CM20060301018,27-Mar-06,2006,3,1,2160,203,2,3,0,28.83,5
CM20060301019,27-Mar-06,2006,3,1,1962.7,203,2,3,1,28.19,5
CM20060301001,28-Mar-06,2006,3,1,2047.8,101,1,1,0,25.84,1
CM20060301002,28-Mar-06,2006,3,1,1908.7,101,1,1,0,25.84,1
CM20060301003,28-Mar-06,2006,3,1,1021,101,1,1,0,25.84,1
CM20060301004,28-Mar-06,2006,3,1,1095,101,1,1,0,25.84,1
CM20060301005,28-Mar-06,2006,3,1,2117,102,1,2,1,25.84,2
CM20060301006,28-Mar-06,2006,3,1,1047.2,102,1,2,0,25.84,2
CM20060301007,28-Mar-06,2006,3,1,2156,203,2,3,0,25.84,5
CM20060301029,28-Mar-06,2006,3,1,1985.1,302,3,2,9,25.44,7
CM20060301030,28-Mar-06,2006,3,1,2119,302,3,2,9,29.26,7
CM20060301036,29-Mar-06,2006,3,1,933.8,401,4,1,0,22.81,9
CM20060301037,29-Mar-06,2006,3,1,2075.9,401,4,1,0,22.93,9
CM20060301038,29-Mar-06,2006,3,1,1909.9,401,4,1,0,21.7,9
CM20060301039,29-Mar-06,2006,3,1,2038.3,401,4,1,0,23.33,9
CM20060301040,29-Mar-06,2006,3,1,2021,401,4,1,0,25.36,9
CM20060301045,29-Mar-06,2006,3,1,2071.1,402,4,2,1,24.44,10
CM20060301046,29-Mar-06,2006,3,1,2168.9,402,4,2,7,24.25,10
CM20060301047,29-Mar-06,2006,3,1,2056.6,402,4,2,3,26.45,10
CM20060301050,29-Mar-06,2006,3,1,2113.7,402,4,2,0,22.9,10
CM20060301052,29-Mar-06,2006,3,1,1971.3,402,4,2,105,24.04,10
CM20060301053,29-Mar-06,2006,3,1,1950.4,402,4,2,5,27.1,10
CM20060301054,29-Mar-06,2006,3,1,1955.6,402,4,2,4,25.04,10
CM20060301057,29-Mar-06,2006,3,1,1991.3,403,4,3,1,21.91,11
