number,year,veg,bot,depth,temp,sal
0,2005,Seagrass,Sand,0.3,17.4,30
0,2005,None,Sand,0.4,22.1,31.9
124,2005,Seagrass,Sand,0.4,20.6,25.5
0,2005,None,Sand,1.1,20.9,29.85
0,2005,None,Sand,0.4,19.65,24.9
2,2005,None,Sand,1.1,17.8,24.9
0,2005,None,Sand,0.3,21.1,24.1
0,2005,None,Sand,0.3,23.1,27.7
207,2005,Seagrass,Sand,0.6,23.6,33
45,2005,Seagrass,Sand,0.5,24.6,33.25
0,2005,None,Sand,0.4,23.2,32.4
409,2005,Seagrass,Mud,0.5,24,32.2
7,2005,None,Sand,0.6,25.65,31.1
3,2005,Seagrass,Sand,0.7,22,25.9
2,2005,Seagrass,Sand,0.4,19.5,22.4
0,2005,None,Sand,0.3,20.5,24.4
0,2005,Seagrass,Sand,0.6,22.7,25.8
0,2005,None,Sand,0.6,22.5,24.65
0,2005,None,Sand,0.5,24.15,24.5
0,2005,None,Sand,0.3,17,22.9
0,2005,None,Sand,1,21.8,24.4
0,2005,Seagrass,Sand,0.4,28.5,24.8
0,2005,None,Sand,0.7,28.6,25
0,2005,None,Sand,1,22.45,23.85
0,2005,Seagrass,Sand,0.3,19.2,24.8
0,2005,None,Sand,1,23.8,25.8
0,2005,None,Sand,0.8,21,24.1
0,2005,None,Sand,1,23.6,22.5
0,2005,None,Sand,1.1,25.15,25.2
0,2005,None,Sand,0.5,24.9,23.15
0,2005,Seagrass,Sand,1.1,24.95,25.15
1,2005,Seagrass,Mud,0.5,25,19.7
104,2005,Seagrass,Sand,1,26.25,26
5,2005,Seagrass,Sand,0.3,23.4,31.1
54,2005,Seagrass,Sand,0.5,23.9,29.5
1,2005,None,Sand,0.5,24.8,29.2
85,2005,Seagrass,Sand,0.8,24.2,27.1
0,2005,None,Sand,0.7,23.7,25.8
3,2005,Seagrass,Sand,0.6,23.9,25.7
0,2005,Seagrass,Sand,0.5,23.65,25.9
4,2005,None,Mud,0.5,23.8,22.6
0,2005,Seagrass,Sand,0.9,24.55,22.4
0,2005,None,Sand,0.8,25.3,21.1
1,2005,Seagrass,Sand,0.3,24.1,27.5
4,2005,Seagrass,Sand,0.5,24.75,29.1
613,2005,Seagrass,Sand,1,24.4,29.85
2,2005,None,Sand,0.4,24,27.5
0,2005,Seagrass,Sand,1,24.4,32.05
5,2005,None,Sand,0.5,24.1,30.9
13,2005,Seagrass,Sand,0.5,23.95,32.15
100,2005,Seagrass,Mud,0.5,23.45,32.1
175,2005,Seagrass,Sand,0.7,23.5,33.25
2,2005,None,Sand,0.8,22.95,23
0,2005,None,Sand,1,25,20.8
1,2005,None,Sand,1,24.55,25.75
4,2005,Seagrass,Sand,0.9,23.9,25.6
3,2005,Seagrass,Sand,0.3,23.8,22.7
0,2005,None,Sand,0.6,24.2,23
0,2005,None,Sand,0.7,25.05,25.1
0,2005,None,Sand,0.8,26.85,24.55
2,2005,None,Sand,1.1,27.6,25.65
0,2006,Seagrass,Sand,0.4,22.3,31.4
13,2006,Seagrass,Sand,0.5,23.3,31.7
13,2006,Seagrass,Sand,0.8,24.4,26.5
0,2006,None,Sand,1.1,23.8,27
237,2006,Seagrass,Sand,0.6,24.3,32.3
857,2006,Seagrass,Sand,0.7,25.6,33.8
3,2006,None,Mud,0.7,25.45,33.6
0,2006,None,Sand,0.6,24.45,34.85
159,2006,Seagrass,Sand,0.8,24,34.9
0,2006,None,Sand,0.9,25.3,32.8
4,2006,None,Sand,0.8,26.6,35.5
0,2006,None,Sand,0.5,25.5,35.2
0,2006,None,Sand,0.5,21.3,24.6
0,2006,Seagrass,Sand,0.4,20.4,26.35
21,2006,Seagrass,Sand,0.4,21.05,26.3
0,2006,None,Sand,0.4,19.9,26.4
0,2006,Seagrass,Sand,0.3,21.2,26.7
1,2006,Seagrass,Sand,1.2,24,29.03333333
1,2006,Seagrass,Sand,0.7,23.9,28.6
0,2006,Seagrass,Mud,0.3,23.2,29.1
12,2006,None,Sand,0.6,26.9,28.15
0,2006,None,Sand,0.7,22.1,27
0,2006,None,Sand,0.4,19.9,27.5
0,2006,None,Sand,0.8,22,26.9
0,2006,None,Sand,0.8,22.85,25.6
0,2006,None,Sand,0.8,23.85,24.65
0,2006,None,Sand,0.8,24.55,26.1
0,2006,None,Sand,1,26.2,27.9
3,2006,Seagrass,Sand,0.7,21.35,33.6
0,2006,None,Sand,0.6,21.4,32.7
0,2006,Seagrass,Sand,0.5,23.1,23.9
